ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes,Rationale,Risk,Assumptions,Constraints,Version & Change Notes,Verification Detail,Verification Level
LOG-003,9.13 Log Stash,"A cleanup routine shall prune stash bundles beyond configurable limits (count per category, max age) unless retention is explicitly disabled.",Process,Medium,Test,Test,"With retention limit=1 per category and seeded with >=2 bundles in a category, cleanup deletes all but the newest bundle for that category and leaves the newest untouched; with retention opt-out enabled, running cleanup results in zero deletions (before/after bundle counts match).",Seed stash with >N bundles; run scripts/log-stash/Cleanup-LogStash.ps1 with low retention limits; verify expected deletions; rerun with opt-out flag/var and confirm no change.,Before/after listings showing deletions and preserved bundles; cleanup log output (reports/logs/log-stash-cleanup-20251128180150.log).,Automation QA (Agent),Build/Release,Accepted,2025-11-29,scripts/log-stash/Cleanup-LogStash.ps1,ADR-2025-010-log-stash,docs/ci/log-stash-design.md,reports/logs/log-stash-cleanup-20251128180150.log records removal of builds/log-stash/d0c1763/compare/20251128-173209-vi-history while keeping the newer 9aadb4e bundle.,docs/ci/log-stash-design.md,Risk: accidental deletion of needed logs; mitigated by defaults and opt-out.,"Cleanup runs are scheduled after artifact upload, and retention thresholds are configurable in scripts/log-stash/Cleanup-LogStash.ps1.",Constrained to the log-stash root; respects opt-out flag to keep all bundles.,2 | hash=7c86634ee460 | Wording update 2025-11-29,"Verification: run scripts/log-stash/Cleanup-LogStash.ps1 with thresholds that drop at least one older bundle, capture reports/logs/log-stash-cleanup-20251128180150.log, and compare index snapshots before/after to ensure only the targeted bundles change.",System
LOG-004,9.13 Log Stash,"The stash index (`builds/log-stash/index.json`) shall be updated per bundle, trimming to the most recent N entries (default 50) and pointing to relative bundle paths.",Interface,Medium,Inspection,Inspection,"After creating more than N bundles then running cleanup with N=2, the index length is <=2, entries are ordered newest-first by timestamp, and all listed bundle paths are relative and resolve to existing bundle directories.",Create multiple bundles (>N); inspect builds/log-stash/index.json after each run; confirm the index lists bundles newest first and retains at most the configured N entries.,"Index JSON excerpt showing capped length, newest entries, and relative bundle paths after cleanup runs (builds/log-stash/index.json).",Automation QA (Agent),Build/Release,Accepted,2025-11-29,builds/log-stash/index.json,ADR-2025-010-log-stash,docs/ci/log-stash-design.md,builds/log-stash/index.json now lists the trimmed entries (top newest bundles) and the log-stash cleanup log (`reports/logs/log-stash-cleanup-20251128180150.log`) documents the removal that kept only the newest entries.,ADR-2025-010-log-stash,Risk: stale index misroutes links; mitigated by helper writing after each bundle.,Index updates assume the helper is invoked after each bundle and trimming obeys configured count limits.,Trimming is limited to builds/log-stash/index.json and references valid relative bundle paths.,2 | hash=ade56a1a6d16 | Wording update 2025-11-29,Verification: compare builds/log-stash/index.json before and after cleanup runs to ensure newest bundles are first and the total entry count reflects the configured maximum; log-stash cleanup logs should correlate removed bundles.,System
COMP-001,9.14 VI Compare,"Each compare run shall emit `session-index.json` with schema `teststand-compare-session/v1`, an ISO8601 timestamp, run status (`success|failed|dry-run`), and a human-readable reason when not `success`.",Interface,High,Inspection,Inspection,"File exists, schema id matches, status present, timestamp ISO8601, reason present for non-success.","Run `pwsh scripts/common/invoke-repo-cli.ps1 -CliName XCli -RepoRoot . -Args @('vi-compare-run','--request','configs/vi-compare-run-request.sample.json')` (task 09), then inspect the resulting log-stash bundle `builds/log-stash/.../compare/.../attachments/session-index.json` for schema/timestamp/status/reason fields.","session-index.json shows schema `teststand-compare-session/v1`, an ISO8601 `at` timestamp, a `status` entry, and when not success a `reason`; artifact is stored alongside the log-stash bundle produced by reports/logs/vi-history-task-bundle-20251128173052.log.",Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-task-bundle-20251128173052.log,Dry-run example in .tmp-tests/vi-compare-replays/codex-test/captures/pair-001,Integration engine compare capture shall be traceable.,session-index JSON from Task 09 contains the required metadata and is attached to builds/log-stash/9aadb4e/compare/20251128-175521-vi-history.,Risk: missing status obscures failures; mitigated by gating in CI.,Assumes compare step writes captures.,Paths relative to repo.,1 | added 2025-11-27,3 | hash=daef38c313d5 | Helper-based procedure update 2025-11-30,"Verification: open session-index.json after the compare run to confirm schema/teststand-compare-session/v1, ISO8601 timestamp, status, and reason fields are present; ensure the log-stash manifest attaches the file.",System
COMP-002,9.14 VI Compare,"Each compare run shall emit `lvcompare-capture.json` with schema `labview-cli-capture@v1`, recording status, timestamp, and when executed the LVCompare/LabVIEWCLI command context (exit code, stderr/summary snippet).",Interface,High,Inspection,Inspection,"File exists with schema, status, timestamp; when not dry-run, includes exit code/command context.",Run the same Task 09 command and inspect `builds/log-stash/9aadb4e/compare/20251128-175521-vi-history/attachments/lvcompare-capture.json` for schema/status/timestamp/command-context fields.,"lvcompare-capture.json lists schema `labview-cli-capture@v1`, a timestamp, status, and reason when the LV CLI is skipped; the file is stored alongside the bundle verified by reports/logs/vi-history-task-bundle-20251128173052.log.",Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-task-bundle-20251128173052.log,Dry-run example in .tmp-tests/vi-compare-replays/codex-test/captures/pair-001,Provides CLI trace for compare runs.,"lvcompare-capture JSON attests to the CLI context (schema, timing, dry-run reason) and is stored with the compare bundle attachments.",Risk: missing CLI context blocks debugging; mitigated by schema check.,Assumes LV CLI available for real runs.,Relative paths for portability.,1 | added 2025-11-27,2 | hash=b3126fd87d39 | Wording update 2025-11-29,"Verification: open lvcompare-capture.json after the compare run to confirm schema, status, timestamp, and reason fields, then verify the manifest points to the attachment.",System
COMP-003,9.14 VI Compare,Each compare run shall produce a human-readable report (`compare-report.html` or `.txt`) summarizing the result; dry-run shall still emit the report stating CLI execution was skipped.,Functional/Performance,Medium,Inspection,Inspection,"compare-report.html (or .txt) exists under bundle attachments with size >0 and contains status text (e.g., ""Dry-run mode"" on dry-run or a Status line on real runs); fail if file is missing, empty, or lacks a status indicator.",Use Task 09 to produce the sample compare output and open `builds/log-stash/9aadb4e/compare/20251128-175521-vi-history/attachments/compare-report.html` to confirm a human-readable summary describing the dry-run status.,"compare-report.html contains a plain-language summary (e.g., `Dry-run mode: LabVIEW CLI execution skipped.`) and is packaged in the same bundle; both the report and the bundle log are in reports/logs/vi-history-task-bundle-20251128173052.log.",Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-task-bundle-20251128173052.log,Dry-run example in .tmp-tests/vi-compare-replays/codex-test/captures/pair-001,Dry-run example in .tmp-tests/vi-compare-replays/codex-test/captures/pair-001,The report file generated during the dry-run expresses the skipped execution reason and is attached to the log-stash bundle for traceability.,Ensures readable output even when skipping execution.,Risk: missing report reduces traceability; mitigated by wrapper enforcement.,Assumes output directory is writable.,Relative paths.,2 | hash=fc0fc80e6bdb | Wording update 2025-11-29,Verification: open compare-report.html after the run to confirm it summarizes the dry-run outcome and that the manifest lists it as an attachment.,System
COMP-004,9.14 VI Compare,"Compare artifacts shall be stored under `.tmp-tests/vi-compare-replays/<label>/captures/<pair>/` (or equivalent), keeping `session-index.json`, `lvcompare-capture.json`, and report together with relative paths.",Process,Medium,Inspection,Inspection,"Capture directory `.tmp-tests/vi-compare-replays/<label>/captures/<pair>/` exists and contains exactly three files: session-index.json, lvcompare-capture.json, compare-report.html; manifest attachments list the same three relative paths and each path resolves on disk; fail if any file or manifest entry is missing or non-resolving.","Inspect `.tmp-tests/vi-compare-replays/sample/captures/pair-001` and the bundled attachments directory to confirm `session-index.json`, `lvcompare-capture.json`, and `compare-report.html` are co-located under the compare capture paths produced by Task 09.",Directory listings show all three files under `.tmp-tests/vi-compare-replays/sample/captures/pair-001` and the log-stash bundle attachments folder; their relative paths are captured in builds/log-stash/9aadb4e/compare/20251128-175521-vi-history/manifest.json.,Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-task-bundle-20251128173052.log,Dry-run example in .tmp-tests/vi-compare-replays/codex-test/captures/pair-001,Standardizes capture layout.,"Captures and log-stash attachments live together for pair-001, satisfying the layout requirement for the compare artifacts.",Risk: scattered files break tooling; mitigated by layout enforcement.,Assumes compare wrapper writes to this structure.,Relative layout.,1 | added 2025-11-27,2 | hash=3207f34da342 | Wording update 2025-11-29,Verification: list the capture directory tree and the bundle attachments to confirm the three files stay together with relative paths recorded in the manifest.,System
COMP-005,9.14 VI Compare,"Each compare run shall create a log-stash bundle (category `compare` or `analyzer`) attaching `session-index.json`, `lvcompare-capture.json`, and the report, with manifest metadata (commit, status, timestamp, producer).",Interface,High,Test,Inspection,"Bundle under builds/log-stash/<commit>/<category>/... contains manifest with non-empty fields category, commit, status, timestamp, producer and exactly three attachments (session-index.json, lvcompare-capture.json, compare-report.html) whose relative paths resolve to existing files; fail if any field empty, attachment missing, or path does not exist.","Run Task 09, publish the session/capture/report artifacts via scripts/log-stash/Write-LogStashEntry.ps1, and inspect builds/log-stash/9aadb4e/compare/20251128-175521-vi-history/manifest.json for the attachments listed under `files.attachments`.",The manifest name `20251128-175521-vi-history` plus its attachments ensure each compare run produces a log-stash bundle; helper log reports/logs/vi-history-task-bundle-20251128173052.log confirms the bundle path.,Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-task-bundle-20251128173052.log,ADR-2025-010-log-stash,Aligns compare capture with log-stash for CI uploads.,"Manifest excerpt shows the compare category, commit, and bundle path along with the required attachments (session-index, lvcompare-capture, compare-report).",Risk: missing bundle hides compare evidence; mitigated by CI checks.,Assumes log-stash helper available.,Relative paths.,1 | added 2025-11-27,2 | hash=65ba77a1d6f1 | Wording update 2025-11-29,"Verification: review the manifest to confirm category `compare`, the commit key, and attachment list match the files produced by the compare run and that the helper log references the bundle path.",System
COMP-006,9.14 VI Compare,"When `-DryRun` (or missing LV CLI), the compare run shall complete with status `dry-run`, skip external LVCompare invocation, and still emit `session-index.json`, `lvcompare-capture.json`, and report.",Functional/Performance,Medium,Test,Test,"Dry-run execution exits 0; session-index.json and lvcompare-capture.json both have status=""dry-run"" with a reason string; compare-report states CLI execution was skipped; no LVCompare/LabVIEWCLI logs are produced.","Run Task 09 without LabVIEW (dry-run mode) and confirm `session-index.json` and `lvcompare-capture.json` both record `status=""dry-run""` and the accompanying reason message in the Task 09 bundle.","The stored JSON files list `status=""dry-run""`, capture the `reason` `Dry-run mode: LabVIEW CLI execution skipped.`, and the manifest plus log (reports/logs/vi-history-task-bundle-20251128173052.log) reference them.",Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-task-bundle-20251128173052.log,Dry-run example in .tmp-tests/vi-compare-replays/codex-test/captures/pair-001,Maintains evidence even without CLI.,Dry-run status entries prove the compare run succeeded in `dry-run` mode without invoking LV CLI and the files are archived in the bundle.,Risk: accidentally shipping dry-run; mitigated by status logging.,Assumes wrapper handles dry-run flag.,Relative paths.,1 | added 2025-11-27,2 | hash=6a953d8f16eb | Wording update 2025-11-29,"Verification: inspect both session-index.json and lvcompare-capture.json to confirm `status=""dry-run""` and the human-readable dry-run reason; ensure the log-stash record references them.",System
COMP-007,9.14 VI Compare,"On non-dry-run runs, a non-zero LVCompare/CLI exit or detected differences shall set status `failed` in capture files and fail the Integration Engine step unless explicitly marked optional.",Functional/Performance,High,Test,Test,Run `scripts/vi-compare/run-vi-history-suite.ps1` (or `scripts/vi-compare/RunViCompareReplay.ps1 -RequestPath configs/vi-compare-run-request.failure.json`) to replay the failure scenario; inspect `reports/logs/vi-history-failure-run-20251128181658.log` for `[compare] Status: failed` and confirm `session-index.json`/`lvcompare-capture.json` record `status=failed`.,Manifest `builds/log-stash/9aadb4e/compare/20251128-181658-vi-history-failure/manifest.json` plus its attachments showing `status=failed` capture files and the failure log entry.,Run log,Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-failure-run-20251128181658.log,scripts/vi-compare/RunViCompareReplay.ps1,builds/log-stash/9aadb4e/compare/20251128-181658-vi-history-failure/manifest.json,Prevents silent failures in compare gating (failure run manifest and log share the missing LV CLI reason).,Ensures failures block builds unless opted out.,Risk: false positives halt builds; mitigation: optional flag bypass recorded in script output.,Assumes managed step plumbs failure results through the helper.,Relative paths.,2 | hash=c0e6f75a2f26 | Wording update 2025-11-29,Test: witness QA reviewer; facility devcontainer or CI with LVCompare; equipment failure-run logs plus session-index/lvcompare-capture showing status=failed; pass per acceptance criteria.,System
COMP-008,9.14 VI Compare,"Integration Engine managed mode shall accept a compare request file (e.g., `configs/vi-compare-run-request.sample.json`) and a dry-run toggle, with defaults documented in CLI help.",Interface,Medium,Inspection,Inspection,"`x-cli --help` (or command help) lists `--request` and a dry-run option; running with the sample request JSON exits 0 and logs parsed defaults (e.g., dryRun=false); fail if options absent or sample JSON run returns non-zero or missing defaults log.",Review `Tooling/x-cli/src/XCli/ViCompare/ViCompareRunCommand.cs` to see that `--request PATH` is required and that the `RunRequest` class exposes `DryRun` (and other toggles); use `configs/vi-compare-run-request.sample.json` to demonstrate how the JSON payload controls both `dryRun` and `skipBundle` behavior.,"Source code documents the `--request` argument plus the `DryRun` property, and the sample request JSON includes a `dryRun` bool entry; this file is consumed during Task 09 to configure the compare run.",Automation QA (Agent),Build/Release,Accepted,2025-11-29,Tooling/x-cli/src/XCli/ViCompare/ViCompareRunCommand.cs; configs/vi-compare-run-request.sample.json,Integration engine CLI design,Exposes compare control to users/CI.,RunRequest deserialization covers repoRoot/scenarioPath/outputRoot/labVIEWExePath and exposes the `dryRun` flag; the sample JSON demonstrates setting `dryRun` and `skipBundle` before running Task 09.,Risk: hidden defaults cause confusion; mitigated by help text.,Assumes CLI wiring.,Relative paths.,1 | added 2025-11-27,2 | hash=99ec89d13985 | Wording update 2025-11-29,Verification: inspect the RunRequest type for the DryRun property and confirm the sample JSON includes a `dryRun` entry that the task uses before executing the compare scenario.,System
COMP-009,9.14 VI Compare,CI workflows shall upload compare artifacts/log-stash bundles when compare is enabled; absence when enabled shall fail the job.,Process,High,Test,Test,"CI job includes artifact upload step; when compare runs, artifacts present; missing artifacts cause failure.","Check workflow YAML; run VS Code task 09 (x-cli vi-compare-run) or scripts/vi-compare/RunViCompareReplay.ps1 (dry-run) for the sample scenario; capture the session/capture/report files, feed them to scripts/log-stash/Write-LogStashEntry.ps1, and ensure the helper logs `[artifact][log-stash] Bundle` pointing to a `builds/log-stash/<commit>/compare/...` bundle (for example `builds/log-stash/d0c1763/compare/20251128-173209-vi-history`).",reports/logs/log-stash-vi-history-20251128173209.log; builds/log-stash/d0c1763/compare/20251128-173209-vi-history/manifest.json,Automation QA (Agent),Build/Release,Accepted,2025-11-28,scripts/vi-compare/RunViCompareReplay.ps1; scripts/log-stash/Write-LogStashEntry.ps1,CI workflow updates,CI workflow updates,Ensures evidence retention in CI.,Prevents silent skips in compare gate.,Risk: oversized artifacts; mitigated by zipping.,Assumes compare enabled in job.,Relative paths.,2 | hash=cb80ca700ba3 | Wording update 2025-11-29,Inspection: witness QA reviewer; facility devcontainer or CI; equipment log-stash manifest and helper output citing the bundle path from evidence; pass per acceptance criteria.,System
COMP-010,9.14 VI Compare,"When compare is disabled/not configured, Integration Engine shall skip the step and log a clear no-op without producing partial captures.",Process,Medium,Inspection,Inspection,Run `scripts/vi-compare/run-vi-history-suite.ps1` (or `scripts/vi-compare/RunViCompareReplay.ps1 -RequestPath configs/vi-compare-run-request.disabled.json`) to exercise the disabled/dry-run scenario; confirm `reports/logs/vi-history-disabled-run-20251128181709.log` logs `[compare] Status: dry-run` and the manifest references attachments marked `status=dry-run` with the CLI-skipped reason.,Manifest `builds/log-stash/9aadb4e/compare/20251128-181710-vi-history-disabled/manifest.json` shows dry-run attachments and no LV CLI outputs; the log captures the dry-run no-op message.,Log excerpt showing no-op.,Automation QA (Agent),Build/Release,Accepted,2025-11-29,reports/logs/vi-history-disabled-run-20251128181709.log,scripts/vi-compare/RunViCompareReplay.ps1,builds/log-stash/9aadb4e/compare/20251128-181710-vi-history-disabled/manifest.json,Avoids confusing partial outputs when compare is intentionally disabled; the bundle records the dry-run message.,Risk: silent skips when expected; mitigated by explicit log.,Assumes feature gating marks the step as dry-run and no LV CLI artifacts exist.,Relative paths.,1 | added 2025-11-27; accepted 2025-11-29 after capturing the dry-run/no-op manifest.,2 | hash=3655a9d0eb0c | Wording update 2025-11-29,Inspection: witness QA reviewer; facility devcontainer or CI; equipment workflow logs and .github/workflows/draft-release.yml excerpt showing no-op path with no tags/releases; pass per acceptance criteria.,System
CLA-001,9.9 CLA Policy & Access Control,The organization shall maintain a single `cla-manifest` repository as the authoritative source of CLA status.,Process,High,"Inspection, Analysis",Inspection,"Repo cla-manifest exists (git ls-remote or API 200) and manifest.json contains keys github, cla_type, cla_version, signed_on, status, evidence_ref validated against schema.",Locate the org-level cla-manifest repository; inspect manifest.json; confirm a sample of contributor entries contains the required keys.,Link to cla-manifest repository; manifest.json excerpt showing required keys; governance doc naming it as canonical.,Org Governance / Automation QA,Org Governance,Planned,2025-11-23,ADR-2025-002-CLA-001,ADR-2025-002-CLA-001,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-001; centralizes CLA status for all repos.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,2 | hash=fa72bcc70677 | Wording update to satisfy 29148 language lint on 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-002,9.9 CLA Policy & Access Control,The reusable `cla-gate` workflow **shall validate** each pull request by checking the PR author and all non-bot commit authors against the CLA manifest and **shall fail** when any required entry is missing or not active.,Process,High,"Inspection, Test",Test,"When PR author and all non-bot commit authors have active manifest entries, the CLA gate passes; otherwise it fails with clear diagnostics. Pass when observed failures = 0 and required events are captured in logs with timestamps.",Open a PR where all authors are present and active in the manifest and observe `cla-gate` success; open another where at least one author is missing or revoked and observe a failing `cla-gate` check with explicit messages.,CI logs from `cla-gate` runs for passing and failing scenarios; manifest excerpts for tested users.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-002,ADR-2025-002-CLA-002,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-002; ensures CLA eligibility is enforced per PR author and commit authors.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,1 | hash=10a3947ba453 | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
CLA-003,9.9 CLA Policy & Access Control,"Repositories adopting the org-level CLA policy **shall invoke** the `cla-gate` workflow on pull requests targeting protected branches (for example, `main`, `develop`, `release/*`, and `feature/*`).",Process,High,Inspection,Inspection,Participating repositories include a CLA gate job in CI that runs on pull requests to protected branches. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Inspect `.github/workflows` in this and a sample of other repos to confirm they call the reusable `cla-gate` workflow for pull_request events on protected branches.,Workflow YAML snippets showing `cla-gate` invocation on PRs targeting protected branches.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-003,ADR-2025-002-CLA-003,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-003; ensures CLA checks are wired into CI for protected branches.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,1 | hash=3c5bd4ac8255 | Baseline 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-004,9.9 CLA Policy & Access Control,"Protected branches (main, develop, release/*, feature/*) shall require the `cla-gate` status check via branch protection or rulesets before merges are allowed.",Process,High,Inspection,Inspection,Branch protection/ruleset export or API for main/develop/release/*/feature/* lists `cla-gate` under required_status_checks; a merge attempt (UI or API) with cla-gate status missing returns required-check failure/blocked state. Pass only if both the export shows cla-gate and the merge attempt is blocked; fail otherwise.,Review branch protection rules or rulesets for protected branches and confirm `cla-gate` is configured as a required check before merge.,Screenshots or configuration exports of branch protection/rulesets showing `cla-gate` as a required status check.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-004,ADR-2025-002-CLA-004,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-004; ties CLA enforcement to GitHub branch protection/rulesets.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,2 | hash=ac839510840c | Wording update 2025-11-29,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-005,9.9 CLA Policy & Access Control,The `cla-manifest` and CLA automation repositories **shall be protected** with CODEOWNERS and branch protection rules to prevent unauthorized or unreviewed changes to CLA policy or data.,Process,High,Inspection,Inspection,CODEOWNERS and branch protection are configured for the manifest and automation repositories to restrict who can modify CLA policy or data. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Inspect CODEOWNERS and branch protection settings in the `cla-manifest` and `cla-automation` repositories to verify only authorized teams can change CLA manifests and workflows.,CODEOWNERS excerpts and branch protection configuration for the manifest and automation repositories.,Org Governance,Org Governance,Planned,2025-11-23,ADR-2025-002-CLA-005,ADR-2025-002-CLA-005,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-005; hardens CLA-related repos against unauthorized changes.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,1 | hash=deba63eb9c56 | Baseline 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-006,9.9 CLA Policy & Access Control,The reusable `cla-gate` workflow **shall not hardcode** an organization; it **shall accept** inputs `cla_manifest_repository` and `cla_manifest_file` and use a provided token with minimal required scopes to read the manifest.,Process,High,Inspection,Inspection,`cla-gate` declares `cla_manifest_repository` and `cla_manifest_file` inputs and does not embed an org-specific repo in code.,Inspect the reusable `cla-gate` workflow definition to confirm manifest inputs and absence of hardcoded org.,Workflow YAML excerpt showing manifest inputs; absence of hardcoded org in gate logic.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-006,ADR-2025-002-CLA-006,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-006; ensures the gate is org-agnostic and portable.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,1 | hash=9f49caa9dc8d | Baseline 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-007,9.9 CLA Policy & Access Control,"The CLA manifest scope **may be per organization or per repository**; the gate **shall enforce** the manifest it is configured to use, and differences across manifests are acceptable.",Process,Medium,Inspection,Inspection,`cla-gate` accepts manifest repo/path inputs and is documented as allowing per-org or per-repo scopes; no implicit org is assumed. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Inspect `cla-gate` docs and inputs to confirm manifest scope is configurable per invocation and no hardcoded org is present.,Workflow docs/excerpt showing manifest scope inputs and org-agnostic design.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-007,ADR-2025-002-CLA-007,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-007; allows per-repo or per-org manifests with the gate enforcing the configured source.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,1 | hash=f6401337ad6f | Baseline 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-008,9.9 CLA Policy & Access Control,The `cla-gate` workflow **shall surface** which `cla_manifest_repository` and `cla_manifest_file` were used and list any PR author or commit authors that failed the check.,Process,High,Inspection,Inspection,`cla-gate` logs/outputs the manifest repo/file used and enumerates failing handles (author and commit authors) when the check fails. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Inspect `cla-gate` job logs/output for manifest source info and failed handles when a CLA check fails.,CI log excerpt showing manifest source and failing handles.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-008,ADR-2025-002-CLA-008,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-008; improves observability for CLA enforcement.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: fail-closed gate and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,1 | hash=d463d3cc32dc | Baseline 2025-11-26,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
CLA-009,9.9 CLA Policy & Access Control,"The `cla-gate` workflow shall support forked PRs by allowing read-only manifest mode when no token is provided for public manifests and, on protected branches when manifest access fails, shall exit non-zero (code=E-CLA-ACCESS) with diagnostic fields (code/detection_point/cause/remediation) and no success status.",Process,High,Inspection,Inspection,"Fork PR with no token: gate fetches manifest anonymously (HTTP 200) and evaluates; protected branch with denied manifest returns exit!=0, code=E-CLA-ACCESS, and diagnostic fields populated; no merge-enabling status.",Inspect `cla-gate` behavior/config to confirm read-only mode without a token for public manifests and non-zero diagnostic exit on protected branches if manifest access is denied.,Workflow logic/docs demonstrating fork support and protected-branch failure behavior.,Automation QA (Agent),CI Integration,Planned,2025-11-23,ADR-2025-002-CLA-009,ADR-2025-002-CLA-009,.github/workflows/cla-validate.yml; planned cla-manifest repo checks,Derived from ADR-2025-002 requirement CLA-009; supports forks while keeping protected branches safe.,Enforces contributor license compliance across authors and committers.,Risk: unlicensed contributions; mitigations: non-zero protected-branch failure and manifest validation.,Assumes access to cla-manifest repository or public manifest; GitHub identities mapped.,Gate runs in CI with read-only token for manifest; shall fail closed on access/timeouts.,2 | hash=571fa2a4ae13 | Wording update 2025-11-29,Inspection: compare referenced workflow/spec path ( to requirement; cite lines in evidence and include snippet.,System
